partition,date_utc,signal_ts,cohort,entry_ts,entry_px,H,L,range,h2_bar_start,session_end,fixed_exit_ts,fixed_exit_px,fixed_exit_reason,fixed_net_pnl_usd,hybrid_exit_ts,hybrid_exit_px,hybrid_exit_reason,hybrid_net_pnl_usd,e10_reached,e10_activation_bar_start,e10_activation_ts,final_floor,final_floor_extension,floor_updates,realized_exit_extension,hybrid_hold_minutes,regime_at_signal,regime_available_ts
external,2021-06-02,2021-06-02 13:35:00+00:00,SAME_BAR_REJECTION,2021-06-02 14:05:00+00:00,2729.28,2749.44,2661.0,88.44000000000005,2021-06-02 14:30:00+00:00,2021-06-02 20:00:00+00:00,2021-06-02 14:30:00+00:00,2758.284,TP_E10,4.913489271895899,2021-06-02 14:40:00+00:00,2758.284,ACTIVE_FLOOR_TOUCH,4.913489271895899,True,2021-06-02 14:30:00+00:00,2021-06-02 14:35:00+00:00,2758.284,0.1000000000000005,0,0.1000000000000005,35.0,BULL,2021-06-02 12:00:00+00:00
external,2021-07-29,2021-07-29 15:15:00+00:00,SAME_BAR_REJECTION,2021-07-29 15:35:00+00:00,2317.01,2328.0,2280.54,47.46000000000004,2021-07-29 16:00:00+00:00,2021-07-29 20:00:00+00:00,2021-07-29 16:00:00+00:00,2332.746,TP_E10,2.995755736919526,2021-07-29 16:05:00+00:00,2323.63,ACTIVE_FLOOR_GAP_OPEN,1.028565262989734,True,2021-07-29 16:00:00+00:00,2021-07-29 16:05:00+00:00,2332.746,0.1000000000000019,0,-0.0920775389801914,30.0,BULL,2021-07-29 12:00:00+00:00
external,2021-09-15,2021-09-15 14:15:00+00:00,SAME_BAR_REJECTION,2021-09-15 14:25:00+00:00,3434.42,3445.0,3379.45,65.55000000000018,2021-09-15 15:00:00+00:00,2021-09-15 20:00:00+00:00,2021-09-15 15:00:00+00:00,3451.555,TP_E10,2.094598796885628,2021-09-15 15:05:00+00:00,3450.32,ACTIVE_FLOOR_GAP_OPEN,1.9148013347231712,True,2021-09-15 15:00:00+00:00,2021-09-15 15:05:00+00:00,3451.555,0.0999999999999972,0,0.0811594202898573,40.0,BULL,2021-09-15 12:00:00+00:00
external,2021-10-25,2021-10-25 14:05:00+00:00,SAME_BAR_REJECTION,2021-10-25 14:15:00+00:00,4152.79,4166.19,4110.0,56.1899999999996,2021-10-25 15:40:00+00:00,2021-10-25 20:00:00+00:00,2021-10-25 15:45:00+00:00,4171.808999999999,TP_E10,1.8899063039546475,2021-10-25 17:20:00+00:00,4205.11,ACTIVE_FLOOR_TOUCH,5.899379453331366,True,2021-10-25 15:45:00+00:00,2021-10-25 15:50:00+00:00,4205.11,0.6926499377113428,2,0.6926499377113428,185.0,BULL,2021-10-25 12:00:00+00:00
external,2021-10-28,2021-10-28 13:35:00+00:00,SAME_BAR_REJECTION,2021-10-28 15:55:00+00:00,4156.08,4199.32,4011.59,187.7299999999996,2021-10-28 17:00:00+00:00,2021-10-28 20:00:00+00:00,2021-10-28 17:05:00+00:00,4218.093,TP_E10,7.060515678235246,2021-10-28 17:10:00+00:00,4196.21,ACTIVE_FLOOR_GAP_OPEN,4.427866643568046,True,2021-10-28 17:05:00+00:00,2021-10-28 17:10:00+00:00,4218.093,0.1000000000000009,0,-0.0165663452831176,75.0,SIDEWAYS,2021-10-28 12:00:00+00:00
external,2021-11-16,2021-11-16 14:50:00+00:00,SAME_BAR_REJECTION,2021-11-16 16:00:00+00:00,4284.14,4345.0,4077.0,268.0,,2021-11-16 20:00:00+00:00,2021-11-16 20:00:00+00:00,4265.55,TIME_EXIT_SESSION_END,-2.569630310867532,2021-11-16 20:00:00+00:00,4265.55,PRE_E10_TIME_EXIT,-2.569630310867532,False,,,,,0,-0.2964552238805963,240.0,BEAR,2021-11-16 12:00:00+00:00
reference_validation,2025-02-04,2025-02-04 13:35:00+00:00,SAME_BAR_REJECTION,2025-02-04 14:00:00+00:00,2794.68,2832.7,2675.28,157.41999999999962,2025-02-04 14:30:00+00:00,2025-02-04 20:00:00+00:00,2025-02-04 19:10:00+00:00,2848.442,TP_E10,9.218632544692085,2025-02-04 19:25:00+00:00,2848.442,ACTIVE_FLOOR_TOUCH,9.218632544692085,True,2025-02-04 19:10:00+00:00,2025-02-04 19:15:00+00:00,2848.442,0.1000000000000014,0,0.1000000000000014,325.0,BEAR,2025-02-04 12:00:00+00:00
reference_validation,2025-02-20,2025-02-20 13:35:00+00:00,SAME_BAR_REJECTION,2025-02-20 13:50:00+00:00,2742.84,2746.0,2723.72,22.2800000000002,2025-02-20 14:00:00+00:00,2025-02-20 20:00:00+00:00,2025-02-20 14:00:00+00:00,2748.228,TP_E10,0.5821936387102159,2025-02-20 14:50:00+00:00,2748.228,ACTIVE_FLOOR_TOUCH,0.5821936387102159,True,2025-02-20 14:00:00+00:00,2025-02-20 14:05:00+00:00,2748.228,0.100000000000002,0,0.100000000000002,60.0,BULL,2025-02-20 12:00:00+00:00
reference_validation,2025-02-21,2025-02-21 13:45:00+00:00,SAME_BAR_REJECTION,2025-02-21 14:15:00+00:00,2820.5,2843.75,2746.55,97.19999999999982,,2025-02-21 20:00:00+00:00,2025-02-21 15:35:00+00:00,2751.04,CLOSE_INVALIDATION_F15,-12.713419606452767,2025-02-21 15:35:00+00:00,2751.04,PRE_E10_CLOSE_INVALIDATION_F15,-12.713419606452767,False,,,,,0,-0.953806584362142,80.0,BULL,2025-02-21 12:00:00+00:00
reference_validation,2025-03-03,2025-03-03 13:45:00+00:00,SAME_BAR_REJECTION,2025-03-03 13:55:00+00:00,2373.46,2386.99,2321.0,65.98999999999978,,2025-03-03 20:00:00+00:00,2025-03-03 14:40:00+00:00,2327.31,CLOSE_INVALIDATION_F15,-10.122093483774783,2025-03-03 14:40:00+00:00,2327.31,PRE_E10_CLOSE_INVALIDATION_F15,-10.122093483774783,False,,,,,0,-0.9043794514320356,45.0,BULL,2025-03-03 12:00:00+00:00
reference_validation,2025-04-24,2025-04-24 13:35:00+00:00,SAME_BAR_REJECTION,2025-04-24 13:45:00+00:00,1752.92,1759.88,1721.22,38.66000000000008,2025-04-24 14:00:00+00:00,2025-04-24 20:00:00+00:00,2025-04-24 14:00:00+00:00,1763.746,TP_E10,2.687990324715295,2025-04-24 14:10:00+00:00,1763.746,ACTIVE_FLOOR_TOUCH,2.687990324715295,True,2025-04-24 14:00:00+00:00,2025-04-24 14:05:00+00:00,1763.746,0.0999999999999994,0,0.0999999999999994,25.0,BULL,2025-04-24 12:00:00+00:00
reference_validation,2025-05-08,2025-05-08 13:40:00+00:00,SAME_BAR_REJECTION,2025-05-08 13:50:00+00:00,1965.51,1976.56,1925.0,51.559999999999945,2025-05-08 13:55:00+00:00,2025-05-08 20:00:00+00:00,2025-05-08 14:00:00+00:00,1981.716,TP_E10,3.7225941358731256,2025-05-08 14:05:00+00:00,1980.8,ACTIVE_FLOOR_GAP_OPEN,3.489575733524664,True,2025-05-08 14:00:00+00:00,2025-05-08 14:05:00+00:00,1981.716,0.0999999999999991,0,0.0822342901474013,15.0,BULL,2025-05-08 12:00:00+00:00
reference_validation,2025-07-18,2025-07-18 13:50:00+00:00,SAME_BAR_REJECTION,2025-07-18 14:05:00+00:00,3638.63,3654.99,3584.0,70.98999999999978,2025-07-18 14:05:00+00:00,2025-07-18 20:00:00+00:00,2025-07-18 14:05:00+00:00,3662.089,TP_E10,2.823603389187701,2025-07-18 14:15:00+00:00,3662.089,ACTIVE_FLOOR_TOUCH,2.823603389187701,True,2025-07-18 14:05:00+00:00,2025-07-18 14:10:00+00:00,3662.089,0.1000000000000025,0,0.1000000000000025,10.0,BULL,2025-07-18 12:00:00+00:00
reference_validation,2025-09-22,2025-09-22 14:25:00+00:00,SAME_BAR_REJECTION,2025-09-22 14:45:00+00:00,4196.76,4215.25,4135.0,80.25,,2025-09-22 20:00:00+00:00,2025-09-22 19:40:00+00:00,4143.52,CLOSE_INVALIDATION_F15,-6.742988400575678,2025-09-22 19:40:00+00:00,4143.52,PRE_E10_CLOSE_INVALIDATION_F15,-6.742988400575678,False,,,,,0,-0.8938317757009291,295.0,BEAR,2025-09-22 12:00:00+00:00
reference_validation,2025-11-03,2025-11-03 14:10:00+00:00,SAME_BAR_REJECTION,2025-11-03 14:30:00+00:00,3720.48,3739.98,3650.13,89.84999999999991,,2025-11-03 20:00:00+00:00,2025-11-03 15:30:00+00:00,3634.6,CLOSE_INVALIDATION_F15,-11.941521524104424,2025-11-03 15:30:00+00:00,3634.6,PRE_E10_CLOSE_INVALIDATION_F15,-11.941521524104424,False,,,,,0,-1.1728436282693402,60.0,SIDEWAYS,2025-11-03 12:00:00+00:00
reference_validation,2025-11-24,2025-11-24 14:40:00+00:00,SAME_BAR_REJECTION,2025-11-24 15:00:00+00:00,2831.23,2841.92,2786.01,55.909999999999854,2025-11-24 15:30:00+00:00,2025-11-24 20:00:00+00:00,2025-11-24 15:40:00+00:00,2847.511,TP_E10,2.475252098911041,2025-11-24 15:45:00+00:00,2845.52,ACTIVE_FLOOR_GAP_OPEN,2.123638136075146,True,2025-11-24 15:40:00+00:00,2025-11-24 15:45:00+00:00,2847.511,0.0999999999999983,0,0.0643891969236258,45.0,BEAR,2025-11-24 12:00:00+00:00
reference_validation,2025-12-30,2025-12-30 14:55:00+00:00,SAME_BAR_REJECTION,2025-12-30 15:55:00+00:00,2991.99,3003.0,2948.81,54.190000000000055,,2025-12-30 20:00:00+00:00,2025-12-30 19:10:00+00:00,2953.26,CLOSE_INVALIDATION_F15,-6.872280990243884,2025-12-30 19:10:00+00:00,2953.26,PRE_E10_CLOSE_INVALIDATION_F15,-6.872280990243884,False,,,,,0,-0.9178815279571828,195.0,BULL,2025-12-30 12:00:00+00:00
reference_validation,2026-02-02,2026-02-02 13:55:00+00:00,SAME_BAR_REJECTION,2026-02-02 14:15:00+00:00,2305.55,2328.0,2227.56,100.44000000000004,2026-02-02 14:30:00+00:00,2026-02-02 20:00:00+00:00,2026-02-02 14:30:00+00:00,2338.044,TP_E10,6.646908546767483,2026-02-02 14:55:00+00:00,2338.044,ACTIVE_FLOOR_TOUCH,6.646908546767483,True,2026-02-02 14:30:00+00:00,2026-02-02 14:35:00+00:00,2338.044,0.0999999999999986,0,0.0999999999999986,40.0,BEAR,2026-02-02 12:00:00+00:00
reference_validation,2026-04-22,2026-04-22 13:35:00+00:00,SAME_BAR_REJECTION,2026-04-22 13:45:00+00:00,2412.43,2414.99,2382.15,32.83999999999969,2026-04-22 13:45:00+00:00,2026-04-22 20:00:00+00:00,2026-04-22 13:45:00+00:00,2418.274,TP_E10,0.8112268542506799,2026-04-22 13:50:00+00:00,2411.99,ACTIVE_FLOOR_GAP_OPEN,-0.4911943558984385,True,2026-04-22 13:45:00+00:00,2026-04-22 13:50:00+00:00,2418.274,0.1000000000000041,0,-0.0913520097442152,5.0,BULL,2026-04-22 12:00:00+00:00
reference_validation,2026-05-01,2026-05-01 13:35:00+00:00,SAME_BAR_REJECTION,2026-05-01 13:50:00+00:00,2309.61,2314.68,2275.68,39.0,2026-05-01 13:50:00+00:00,2026-05-01 20:00:00+00:00,2026-05-01 13:50:00+00:00,2318.58,TP_E10,1.5418862924909242,2026-05-01 13:55:00+00:00,2316.83,ACTIVE_FLOOR_GAP_OPEN,1.1630344517039153,True,2026-05-01 13:50:00+00:00,2026-05-01 13:55:00+00:00,2318.58,0.1000000000000023,0,0.0551282051282074,5.0,SIDEWAYS,2026-05-01 12:00:00+00:00
reference_validation,2026-07-03,2026-07-03 13:45:00+00:00,SAME_BAR_REJECTION,2026-07-03 14:05:00+00:00,1743.7,1748.67,1714.9,33.76999999999998,2026-07-03 19:30:00+00:00,2026-07-03 20:00:00+00:00,2026-07-03 19:35:00+00:00,1752.047,TP_E10,1.9934736479899189,2026-07-03 19:40:00+00:00,1749.75,ACTIVE_FLOOR_GAP_OPEN,1.3348167689396069,True,2026-07-03 19:35:00+00:00,2026-07-03 19:40:00+00:00,1752.047,0.0999999999999986,0,0.031981048267691,335.0,BULL,2026-07-03 12:00:00+00:00
